Country,year,sex,age,suicides_no,population,suicides/100k pop,country-year, gdp_for_year ($) ,gdp_per_capita ($),generation,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Armenia,2015,female,25-34 years,2,274108,0.73,Armenia2015,"10,553,337,673",3775,Millenials,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,female,5-14 years,0,175417,0.0,Armenia2015,"10,553,337,673",3775,Generation Z,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Armenia,2015,male,5-14 years,0,201051,0.0,Armenia2015,"10,553,337,673",3775,Generation Z,Central and Eastern Europe,127.0,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Australia,2015,male,35-54 years,944,3149299,29.97,Australia2015,"1,349,034,029,453",60656,Generation X,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,male,75+ years,181,673787,26.86,Australia2015,"1,349,034,029,453",60656,Silent,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,male,25-34 years,423,1762265,24.0,Australia2015,"1,349,034,029,453",60656,Millenials,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,male,55-74 years,457,2337430,19.55,Australia2015,"1,349,034,029,453",60656,Boomers,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,male,15-24 years,281,1608990,17.46,Australia2015,"1,349,034,029,453",60656,Millenials,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,female,35-54 years,294,3203643,9.18,Australia2015,"1,349,034,029,453",60656,Generation X,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,female,15-24 years,110,1526305,7.21,Australia2015,"1,349,034,029,453",60656,Millenials,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,female,25-34 years,119,1747715,6.81,Australia2015,"1,349,034,029,453",60656,Millenials,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,female,55-74 years,152,2411343,6.3,Australia2015,"1,349,034,029,453",60656,Boomers,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,female,75+ years,52,884347,5.88,Australia2015,"1,349,034,029,453",60656,Silent,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,female,5-14 years,8,1428159,0.56,Australia2015,"1,349,034,029,453",60656,Generation Z,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Australia,2015,male,5-14 years,6,1507502,0.4,Australia2015,"1,349,034,029,453",60656,Generation Z,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646
Austria,2015,male,75+ years,214,290329,73.71,Austria2015,"382,065,930,308",46484,Silent,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,male,55-74 years,294,915115,32.13,Austria2015,"382,065,930,308",46484,Boomers,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,male,35-54 years,313,1279822,24.46,Austria2015,"382,065,930,308",46484,Generation X,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,female,75+ years,70,461676,15.16,Austria2015,"382,065,930,308",46484,Silent,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,male,25-34 years,78,590968,13.2,Austria2015,"382,065,930,308",46484,Millenials,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,male,15-24 years,61,519646,11.74,Austria2015,"382,065,930,308",46484,Millenials,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,female,55-74 years,100,998854,10.01,Austria2015,"382,065,930,308",46484,Boomers,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,female,35-54 years,79,1273034,6.21,Austria2015,"382,065,930,308",46484,Generation X,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,female,15-24 years,19,490742,3.87,Austria2015,"382,065,930,308",46484,Millenials,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,female,25-34 years,21,576661,3.64,Austria2015,"382,065,930,308",46484,Millenials,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,female,5-14 years,1,400831,0.25,Austria2015,"382,065,930,308",46484,Generation Z,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Austria,2015,male,5-14 years,1,421708,0.24,Austria2015,"382,065,930,308",46484,Generation Z,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332
Belgium,2015,male,75+ years,177,392775,45.06,Belgium2015,"455,039,563,133",42830,Silent,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,male,35-54 years,529,1567729,33.74,Belgium2015,"455,039,563,133",42830,Generation X,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,male,55-74 years,353,1200170,29.41,Belgium2015,"455,039,563,133",42830,Boomers,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,male,25-34 years,161,728873,22.09,Belgium2015,"455,039,563,133",42830,Millenials,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,female,35-54 years,221,1534727,14.4,Belgium2015,"455,039,563,133",42830,Generation X,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,female,75+ years,87,616201,14.12,Belgium2015,"455,039,563,133",42830,Silent,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,female,55-74 years,176,1262327,13.94,Belgium2015,"455,039,563,133",42830,Boomers,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,male,15-24 years,93,671971,13.84,Belgium2015,"455,039,563,133",42830,Millenials,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,female,25-34 years,45,726357,6.2,Belgium2015,"455,039,563,133",42830,Millenials,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,female,15-24 years,21,649587,3.23,Belgium2015,"455,039,563,133",42830,Millenials,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,female,5-14 years,2,622189,0.32,Belgium2015,"455,039,563,133",42830,Generation Z,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Belgium,2015,male,5-14 years,2,651450,0.31,Belgium2015,"455,039,563,133",42830,Generation Z,Western Europe,19.0,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484
Brazil,2015,male,75+ years,470,2448560,19.19,Brazil2015,"1,802,214,373,741",9431,Silent,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,55-74 years,1693,12987357,13.04,Brazil2015,"1,802,214,373,741",9431,Boomers,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,35-54 years,3238,26989063,12.0,Brazil2015,"1,802,214,373,741",9431,Generation X,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,25-34 years,1897,17625976,10.76,Brazil2015,"1,802,214,373,741",9431,Millenials,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,15-24 years,1389,17569045,7.91,Brazil2015,"1,802,214,373,741",9431,Millenials,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,35-54 years,910,28461855,3.2,Brazil2015,"1,802,214,373,741",9431,Generation X,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,55-74 years,479,15122216,3.17,Brazil2015,"1,802,214,373,741",9431,Boomers,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,25-34 years,466,17546090,2.66,Brazil2015,"1,802,214,373,741",9431,Millenials,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,75+ years,89,3802086,2.34,Brazil2015,"1,802,214,373,741",9431,Silent,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,15-24 years,397,17047218,2.33,Brazil2015,"1,802,214,373,741",9431,Millenials,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,male,5-14 years,79,16057040,0.49,Brazil2015,"1,802,214,373,741",9431,Generation Z,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2015,female,5-14 years,56,15430579,0.36,Brazil2015,"1,802,214,373,741",9431,Generation Z,Latin America and Caribbean,16.0,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001
Chile,2015,male,75+ years,117,282308,41.44,Chile2015,"243,999,477,738",14729,Silent,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,male,55-74 years,301,1394272,21.59,Chile2015,"243,999,477,738",14729,Boomers,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,male,35-54 years,513,2426719,21.14,Chile2015,"243,999,477,738",14729,Generation X,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,male,25-34 years,296,1406921,21.04,Chile2015,"243,999,477,738",14729,Millenials,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,male,15-24 years,224,1400822,15.99,Chile2015,"243,999,477,738",14729,Millenials,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,female,35-54 years,136,2431495,5.59,Chile2015,"243,999,477,738",14729,Generation X,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,female,55-74 years,78,1544550,5.05,Chile2015,"243,999,477,738",14729,Boomers,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,female,25-34 years,66,1359598,4.85,Chile2015,"243,999,477,738",14729,Millenials,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,female,15-24 years,64,1343941,4.76,Chile2015,"243,999,477,738",14729,Millenials,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,female,75+ years,21,470618,4.46,Chile2015,"243,999,477,738",14729,Silent,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,female,5-14 years,13,1228869,1.06,Chile2015,"243,999,477,738",14729,Generation Z,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Chile,2015,male,5-14 years,9,1275612,0.71,Chile2015,"243,999,477,738",14729,Generation Z,Latin America and Caribbean,27.0,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585
Colombia,2015,male,75+ years,82,502228,16.33,Colombia2015,"291,519,591,533",6552,Silent,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,male,15-24 years,473,4197599,11.27,Colombia2015,"291,519,591,533",6552,Millenials,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,male,55-74 years,317,2926656,10.83,Colombia2015,"291,519,591,533",6552,Boomers,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,male,25-34 years,379,3994717,9.49,Colombia2015,"291,519,591,533",6552,Millenials,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,male,35-54 years,560,6143478,9.12,Colombia2015,"291,519,591,533",6552,Generation X,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,female,15-24 years,176,4070390,4.32,Colombia2015,"291,519,591,533",6552,Millenials,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,female,25-34 years,111,4031995,2.75,Colombia2015,"291,519,591,533",6552,Millenials,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,female,35-54 years,96,6566323,1.46,Colombia2015,"291,519,591,533",6552,Generation X,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,female,75+ years,10,715044,1.4,Colombia2015,"291,519,591,533",6552,Silent,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,female,55-74 years,45,3367078,1.34,Colombia2015,"291,519,591,533",6552,Boomers,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,female,5-14 years,44,3904896,1.13,Colombia2015,"291,519,591,533",6552,Generation Z,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Colombia,2015,male,5-14 years,39,4070023,0.96,Colombia2015,"291,519,591,533",6552,Generation Z,Latin America and Caribbean,33.0,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737
Croatia,2015,male,75+ years,104,131896,78.85,Croatia2015,"49,425,513,611",12351,Silent,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,male,55-74 years,207,476580,43.43,Croatia2015,"49,425,513,611",12351,Boomers,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,male,35-54 years,155,575410,26.94,Croatia2015,"49,425,513,611",12351,Generation X,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,female,75+ years,56,243369,23.01,Croatia2015,"49,425,513,611",12351,Silent,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,male,25-34 years,41,280212,14.63,Croatia2015,"49,425,513,611",12351,Millenials,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,male,15-24 years,34,247562,13.73,Croatia2015,"49,425,513,611",12351,Millenials,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,female,55-74 years,75,548940,13.66,Croatia2015,"49,425,513,611",12351,Boomers,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,female,35-54 years,51,576262,8.85,Croatia2015,"49,425,513,611",12351,Generation X,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,female,25-34 years,7,271005,2.58,Croatia2015,"49,425,513,611",12351,Millenials,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,female,15-24 years,6,236301,2.54,Croatia2015,"49,425,513,611",12351,Millenials,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,female,5-14 years,2,201507,0.99,Croatia2015,"49,425,513,611",12351,Generation Z,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Croatia,2015,male,5-14 years,1,212625,0.47,Croatia2015,"49,425,513,611",12351,Generation Z,Central and Eastern Europe,62.0,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414
Cyprus,2015,male,55-74 years,9,83627,10.76,Cyprus2015,"19,676,167,240",24718,Boomers,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,male,25-34 years,7,67482,10.37,Cyprus2015,"19,676,167,240",24718,Millenials,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,male,35-54 years,10,106371,9.4,Cyprus2015,"19,676,167,240",24718,Generation X,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,male,15-24 years,5,58308,8.58,Cyprus2015,"19,676,167,240",24718,Millenials,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,female,55-74 years,3,87902,3.41,Cyprus2015,"19,676,167,240",24718,Boomers,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,female,25-34 years,2,70765,2.83,Cyprus2015,"19,676,167,240",24718,Millenials,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,female,35-54 years,3,118975,2.52,Cyprus2015,"19,676,167,240",24718,Generation X,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,female,15-24 years,1,58123,1.72,Cyprus2015,"19,676,167,240",24718,Millenials,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,female,5-14 years,0,44693,0.0,Cyprus2015,"19,676,167,240",24718,Generation Z,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,female,75+ years,0,29924,0.0,Cyprus2015,"19,676,167,240",24718,Silent,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,male,5-14 years,0,46906,0.0,Cyprus2015,"19,676,167,240",24718,Generation Z,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Cyprus,2015,male,75+ years,0,22961,0.0,Cyprus2015,"19,676,167,240",24718,Silent,Western Europe,67.0,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931
Czech Republic,2015,male,75+ years,145,264401,54.84,Czech Republic2015,"186,829,940,546",18703,Silent,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
Czech Republic,2015,male,55-74 years,373,1202553,31.02,Czech Republic2015,"186,829,940,546",18703,Boomers,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
Czech Republic,2015,male,35-54 years,404,1602521,25.21,Czech Republic2015,"186,829,940,546",18703,Generation X,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
Czech Republic,2015,male,25-34 years,151,737221,20.48,Czech Republic2015,"186,829,940,546",18703,Millenials,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
Czech Republic,2015,male,15-24 years,58,546597,10.61,Czech Republic2015,"186,829,940,546",18703,Millenials,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
Czech Republic,2015,female,75+ years,44,471092,9.34,Czech Republic2015,"186,829,940,546",18703,Silent,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
Czech Republic,2015,female,55-74 years,80,1358421,5.89,Czech Republic2015,"186,829,940,546",18703,Boomers,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
Czech Republic,2015,female,35-54 years,86,1528289,5.63,Czech Republic2015,"186,829,940,546",18703,Generation X,Central and Eastern Europe,31.0,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782
